regime,metric,seed_mean,seed_sd,pooled_count,min,p05,median,p95,max
hard,step.armijo_rhs,1.6712999216715494,0.02723445720125894,300,1.404732584953308,1.43541476726532,1.6243888139724731,2.029047536849976,2.2941782474517822
hard,step.armijo_satisfied,1,0.0,300,True,1.0,1.0,1.0,True
hard,step.armijo_margin,0.12752339601516724,0.017064648295608782,300,0.001334071159362793,0.011206793785095216,0.10695207118988037,0.33635101914405824,0.5158560276031494
hard,representation_shift,0.23339034697661798,0.021680027079836024,300,0.020606670528650284,0.07736624255776406,0.2247355729341507,0.4033265113830567,0.508345901966095
hard,normal_output_max_error,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0
hard,normal_state_max_error,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0
hard,nonfinite_elements,0,0.0,300,0,0.0,0.0,0.0,0
hard,all_finite,1,0.0,300,True,1.0,1.0,1.0,True
hard,W0_only_metric_max_error,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0
hard,training_runner_eval_max_error,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0
