scope,feature,count,harm_count,harm_gt_005_count,spearman,auroc_harm,auroc_harm_gt_005
state/seed27_P_C2_warm_step0/easy,assignment_entropy,100,68,61,0.10115811581158116,0.5431985294117647,0.5762925598991173
state/seed27_P_C2_warm_step0/easy,assignment_probability_gap,100,68,61,-0.1527032703270327,0.43933823529411764,0.4140395124001681
state/seed27_P_C2_warm_step0/easy,inner_loss_before,100,68,61,-0.003552355235523552,0.5179227941176471,0.5149222362337117
state/seed27_P_C2_warm_step0/easy,gradient_norm,100,68,61,-0.02511851185118512,0.47840073529411764,0.49810844892812106
state/seed27_P_C2_warm_step0/easy,chosen_eta,100,68,61,0.12057276183640099,0.5625,0.5493905002101723
state/seed27_P_C2_warm_step0/easy,backtracking_trials,100,68,61,-0.12057276183640099,0.4375,0.45060949978982767
state/seed27_P_C2_warm_step0/easy,normalized_update,100,68,61,0.09482148214821483,0.5611213235294118,0.5620008406893653
state/seed27_P_C2_warm_step0/easy,representation_shift,100,68,61,0.10015001500150016,0.5615808823529411,0.5666246321984026
state/seed27_P_C2_warm_step0/easy,relative_inner_reduction,100,68,61,-0.08134413441344135,0.49862132352941174,0.47372845733501473
state/seed27_P_C2_warm_step0/easy,query_js,100,68,61,0.26905490549054906,0.5583639705882353,0.6111811685582177
state/seed27_P_C2_warm_step0/easy,prediction_changed_fraction,100,68,61,0.3473950412012558,0.5443474264705882,0.598150483396385
state/seed27_P_C2_warm_step0/hard,query_entropy,100,44,36,-0.025706570657065705,0.4849837662337662,0.4305555555555556
state/seed27_P_C2_warm_step0/hard,query_max_probability,100,44,36,0.02484248424842484,0.536525974025974,0.5681423611111112
state/seed27_P_C2_warm_step0/hard,query_probability_gap,100,44,36,0.032067206720672065,0.5438311688311688,0.5512152777777778
state/seed27_P_C2_warm_step0/hard,assignment_entropy,100,44,36,0.011245124512451245,0.5616883116883117,0.4735243055555556
state/seed27_P_C2_warm_step0/hard,assignment_probability_gap,100,44,36,-0.017065706570657067,0.4577922077922078,0.5026041666666666
state/seed27_P_C2_warm_step0/hard,inner_loss_before,100,44,36,-0.23633963396339633,0.36891233766233766,0.4809027777777778
state/seed27_P_C2_warm_step0/hard,gradient_norm,100,44,36,-0.11523552355235524,0.4289772727272727,0.5572916666666666
state/seed27_P_C2_warm_step0/hard,chosen_eta,100,44,36,-0.16896652625244185,0.419237012987013,0.4331597222222222
state/seed27_P_C2_warm_step0/hard,backtracking_trials,100,44,36,0.16896652625244185,0.580762987012987,0.5668402777777778
state/seed27_P_C2_warm_step0/hard,normalized_update,100,44,36,-0.17854185418541854,0.39204545454545453,0.4908854166666667
state/seed27_P_C2_warm_step0/hard,representation_shift,100,44,36,-0.18195019501950194,0.38920454545454547,0.4891493055555556
state/seed27_P_C2_warm_step0/hard,relative_inner_reduction,100,44,36,-0.2913051305130513,0.33319805194805197,0.4210069444444444
state/seed27_P_C2_warm_step0/hard,query_js,100,44,36,-0.22183018301830182,0.375,0.4796006944444444
state/seed27_P_C2_warm_step0/hard,prediction_changed_fraction,100,44,36,-0.35501545013548647,0.320211038961039,0.3838975694444444
